
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=1, nthreads=1, warmups=0, runs=100

Single task: Run no.  0: 74 occurrences found in 0,071208 s
Single task: Run no.  1: 74 occurrences found in 0,076072 s
Single task: Run no.  2: 74 occurrences found in 0,036135 s
Single task: Run no.  3: 74 occurrences found in 0,035931 s
Single task: Run no.  4: 74 occurrences found in 0,035929 s
Single task: Run no.  5: 74 occurrences found in 0,035828 s
Single task: Run no.  6: 74 occurrences found in 0,035991 s
Single task: Run no.  7: 74 occurrences found in 0,035846 s
Single task: Run no.  8: 74 occurrences found in 0,035779 s
Single task: Run no.  9: 74 occurrences found in 0,035838 s
Single task: Run no. 10: 74 occurrences found in 0,036056 s
Single task: Run no. 11: 74 occurrences found in 0,036857 s
Single task: Run no. 12: 74 occurrences found in 0,036987 s
Single task: Run no. 13: 74 occurrences found in 0,036890 s
Single task: Run no. 14: 74 occurrences found in 0,036483 s
Single task: Run no. 15: 74 occurrences found in 0,036633 s
Single task: Run no. 16: 74 occurrences found in 0,036615 s
Single task: Run no. 17: 74 occurrences found in 0,037141 s
Single task: Run no. 18: 74 occurrences found in 0,038525 s
Single task: Run no. 19: 74 occurrences found in 0,036773 s
Single task: Run no. 20: 74 occurrences found in 0,036768 s
Single task: Run no. 21: 74 occurrences found in 0,036673 s
Single task: Run no. 22: 74 occurrences found in 0,036252 s
Single task: Run no. 23: 74 occurrences found in 0,035837 s
Single task: Run no. 24: 74 occurrences found in 0,035794 s
Single task: Run no. 25: 74 occurrences found in 0,036264 s
Single task: Run no. 26: 74 occurrences found in 0,036982 s
Single task: Run no. 27: 74 occurrences found in 0,036272 s
Single task: Run no. 28: 74 occurrences found in 0,036628 s
Single task: Run no. 29: 74 occurrences found in 0,036643 s
Single task: Run no. 30: 74 occurrences found in 0,036748 s
Single task: Run no. 31: 74 occurrences found in 0,037149 s
Single task: Run no. 32: 74 occurrences found in 0,036687 s
Single task: Run no. 33: 74 occurrences found in 0,036746 s
Single task: Run no. 34: 74 occurrences found in 0,036709 s
Single task: Run no. 35: 74 occurrences found in 0,037203 s
Single task: Run no. 36: 74 occurrences found in 0,036690 s
Single task: Run no. 37: 74 occurrences found in 0,036668 s
Single task: Run no. 38: 74 occurrences found in 0,036770 s
Single task: Run no. 39: 74 occurrences found in 0,036769 s
Single task: Run no. 40: 74 occurrences found in 0,036644 s
Single task: Run no. 41: 74 occurrences found in 0,036698 s
Single task: Run no. 42: 74 occurrences found in 0,036764 s
Single task: Run no. 43: 74 occurrences found in 0,036710 s
Single task: Run no. 44: 74 occurrences found in 0,036658 s
Single task: Run no. 45: 74 occurrences found in 0,036709 s
Single task: Run no. 46: 74 occurrences found in 0,036670 s
Single task: Run no. 47: 74 occurrences found in 0,036729 s
Single task: Run no. 48: 74 occurrences found in 0,036689 s
Single task: Run no. 49: 74 occurrences found in 0,036458 s
Single task: Run no. 50: 74 occurrences found in 0,035901 s
Single task: Run no. 51: 74 occurrences found in 0,036006 s
Single task: Run no. 52: 74 occurrences found in 0,035976 s
Single task: Run no. 53: 74 occurrences found in 0,035764 s
Single task: Run no. 54: 74 occurrences found in 0,035764 s
Single task: Run no. 55: 74 occurrences found in 0,035720 s
Single task: Run no. 56: 74 occurrences found in 0,035725 s
Single task: Run no. 57: 74 occurrences found in 0,035958 s
Single task: Run no. 58: 74 occurrences found in 0,035889 s
Single task: Run no. 59: 74 occurrences found in 0,035927 s
Single task: Run no. 60: 74 occurrences found in 0,035953 s
Single task: Run no. 61: 74 occurrences found in 0,035869 s
Single task: Run no. 62: 74 occurrences found in 0,035876 s
