
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=1, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,035943 s
Single task: Run no.  1: 74 occurrences found in 0,036787 s
Single task: Run no.  2: 74 occurrences found in 0,037468 s
Single task: Run no.  3: 74 occurrences found in 0,036651 s
Single task: Run no.  4: 74 occurrences found in 0,036852 s
Single task: Run no.  5: 74 occurrences found in 0,036796 s
Single task: Run no.  6: 74 occurrences found in 0,036723 s
Single task: Run no.  7: 74 occurrences found in 0,036658 s
Single task: Run no.  8: 74 occurrences found in 0,036726 s
Single task: Run no.  9: 74 occurrences found in 0,036514 s
Single task: Run no. 10: 74 occurrences found in 0,035810 s
Single task: Run no. 11: 74 occurrences found in 0,036717 s
Single task: Run no. 12: 74 occurrences found in 0,037222 s
Single task: Run no. 13: 74 occurrences found in 0,036676 s
Single task: Run no. 14: 74 occurrences found in 0,036700 s
Single task: Run no. 15: 74 occurrences found in 0,036784 s
Single task: Run no. 16: 74 occurrences found in 0,036308 s
Single task: Run no. 17: 74 occurrences found in 0,036577 s
Single task: Run no. 18: 74 occurrences found in 0,036681 s
Single task: Run no. 19: 74 occurrences found in 0,036739 s
Single task: Run no. 20: 74 occurrences found in 0,036617 s
Single task: Run no. 21: 74 occurrences found in 0,036669 s
Single task: Run no. 22: 74 occurrences found in 0,036626 s
Single task: Run no. 23: 74 occurrences found in 0,036618 s
Single task: Run no. 24: 74 occurrences found in 0,036697 s
Single task: Run no. 25: 74 occurrences found in 0,036687 s
Single task: Run no. 26: 74 occurrences found in 0,036726 s
Single task: Run no. 27: 74 occurrences found in 0,036702 s
Single task: Run no. 28: 74 occurrences found in 0,036667 s
Single task: Run no. 29: 74 occurrences found in 0,036654 s
Single task: Run no. 30: 74 occurrences found in 0,036604 s
Single task: Run no. 31: 74 occurrences found in 0,036709 s
Single task: Run no. 32: 74 occurrences found in 0,036669 s
Single task: Run no. 33: 74 occurrences found in 0,036669 s
Single task: Run no. 34: 74 occurrences found in 0,036656 s
Single task: Run no. 35: 74 occurrences found in 0,036705 s
Single task: Run no. 36: 74 occurrences found in 0,036710 s
Single task: Run no. 37: 74 occurrences found in 0,036617 s
Single task: Run no. 38: 74 occurrences found in 0,036616 s
Single task: Run no. 39: 74 occurrences found in 0,036229 s
Single task: Run no. 40: 74 occurrences found in 0,035859 s
Single task: Run no. 41: 74 occurrences found in 0,035977 s
Single task: Run no. 42: 74 occurrences found in 0,036043 s
Single task: Run no. 43: 74 occurrences found in 0,035740 s
Single task: Run no. 44: 74 occurrences found in 0,035779 s
Single task: Run no. 45: 74 occurrences found in 0,035923 s
Single task: Run no. 46: 74 occurrences found in 0,035782 s
Single task: Run no. 47: 74 occurrences found in 0,035803 s
Single task: Run no. 48: 74 occurrences found in 0,035781 s
