File=Chromosome.txt, pattern='A'
ntasks=100, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 1251521 occurrences found in 0,054845 s
Single task: Run no.  1: 1251521 occurrences found in 0,054005 s
Single task: Run no.  2: 1251521 occurrences found in 0,373058 s
Single task: Run no.  3: 1251521 occurrences found in 0,064400 s
Single task: Run no.  4: 1251521 occurrences found in 0,054702 s
Single task: Run no.  5: 1251521 occurrences found in 0,069413 s
Single task: Run no.  6: 1251521 occurrences found in 1,140307 s
Single task: Run no.  7: 1251521 occurrences found in 0,088589 s
Single task: Run no.  8: 1251521 occurrences found in 0,088809 s
Single task: Run no.  9: 1251521 occurrences found in 0,087882 s
Single task: Run no. 10: 1251521 occurrences found in 0,483496 s
Single task: Run no. 11: 1251521 occurrences found in 0,088970 s
Single task: Run no. 12: 1251521 occurrences found in 0,089166 s
Single task: Run no. 13: 1251521 occurrences found in 0,089181 s
Single task: Run no. 14: 1251521 occurrences found in 0,090367 s
Single task: Run no. 15: 1251521 occurrences found in 1,638745 s
Single task: Run no. 16: 1251521 occurrences found in 0,090360 s
Single task: Run no. 17: 1251521 occurrences found in 0,090160 s
Single task: Run no. 18: 1251521 occurrences found in 0,090394 s
Single task: Run no. 19: 1251521 occurrences found in 0,090358 s
Single task: Run no. 20: 1251521 occurrences found in 0,358571 s
Single task: Run no. 21: 1251521 occurrences found in 0,089598 s
Single task: Run no. 22: 1251521 occurrences found in 0,089631 s
Single task: Run no. 23: 1251521 occurrences found in 0,089457 s
Single task: Run no. 24: 1251521 occurrences found in 0,089180 s
Single task: Run no. 25: 1251521 occurrences found in 0,088679 s
Single task: Run no. 26: 1251521 occurrences found in 0,089005 s
Single task: Run no. 27: 1251521 occurrences found in 0,329904 s
Single task: Run no. 28: 1251521 occurrences found in 0,089103 s
Single task: Run no. 29: 1251521 occurrences found in 0,098539 s
Single task: Run no. 30: 1251521 occurrences found in 0,089425 s
Single task: Run no. 31: 1251521 occurrences found in 0,088381 s
Single task: Run no. 32: 1251521 occurrences found in 0,089569 s
Single task: Run no. 33: 1251521 occurrences found in 0,087531 s
Single task: Run no. 34: 1251521 occurrences found in 0,363718 s
Single task: Run no. 35: 1251521 occurrences found in 0,089764 s
Single task: Run no. 36: 1251521 occurrences found in 0,089735 s
Single task: Run no. 37: 1251521 occurrences found in 0,089631 s
Single task: Run no. 38: 1251521 occurrences found in 0,089255 s
Single task: Run no. 39: 1251521 occurrences found in 0,089034 s
Single task: Run no. 40: 1251521 occurrences found in 0,090501 s
