
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=10000, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,035736 s
Single task: Run no.  1: 74 occurrences found in 0,037271 s
Single task: Run no.  2: 74 occurrences found in 0,037141 s
Single task: Run no.  3: 74 occurrences found in 0,036285 s
Single task: Run no.  4: 74 occurrences found in 0,036981 s
Single task: Run no.  5: 74 occurrences found in 0,036651 s
Single task: Run no.  6: 74 occurrences found in 0,037190 s
Single task: Run no.  7: 74 occurrences found in 0,035801 s
Single task: Run no.  8: 74 occurrences found in 0,035929 s
Single task: Run no.  9: 74 occurrences found in 0,035799 s
Single task: Run no. 10: 74 occurrences found in 0,036043 s
Single task: Run no. 11: 74 occurrences found in 0,036904 s
Single task: Run no. 12: 74 occurrences found in 0,038678 s
Single task: Run no. 13: 74 occurrences found in 0,037425 s
Single task: Run no. 14: 74 occurrences found in 0,036032 s
Single task: Run no. 15: 74 occurrences found in 0,037244 s
Single task: Run no. 16: 74 occurrences found in 0,036767 s
Single task: Run no. 17: 74 occurrences found in 0,036678 s
Single task: Run no. 18: 74 occurrences found in 0,037344 s
Single task: Run no. 19: 74 occurrences found in 0,036638 s
Single task: Run no. 20: 74 occurrences found in 0,036666 s
Single task: Run no. 21: 74 occurrences found in 0,037537 s
Single task: Run no. 22: 74 occurrences found in 0,036302 s
Single task: Run no. 23: 74 occurrences found in 0,036828 s
Single task: Run no. 24: 74 occurrences found in 0,036653 s
Single task: Run no. 25: 74 occurrences found in 0,036679 s
Single task: Run no. 26: 74 occurrences found in 0,036640 s
Single task: Run no. 27: 74 occurrences found in 0,037409 s
Single task: Run no. 28: 74 occurrences found in 0,036542 s
Single task: Run no. 29: 74 occurrences found in 0,036173 s
Single task: Run no. 30: 74 occurrences found in 0,036561 s
Single task: Run no. 31: 74 occurrences found in 0,037065 s
Single task: Run no. 32: 74 occurrences found in 0,037286 s
Single task: Run no. 33: 74 occurrences found in 0,036654 s
Single task: Run no. 34: 74 occurrences found in 0,036594 s
Single task: Run no. 35: 74 occurrences found in 0,036302 s
Single task: Run no. 36: 74 occurrences found in 0,036203 s
Single task: Run no. 37: 74 occurrences found in 0,036435 s
Single task: Run no. 38: 74 occurrences found in 0,036351 s
Single task: Run no. 39: 74 occurrences found in 0,035997 s
Single task: Run no. 40: 74 occurrences found in 0,035929 s
Single task: Run no. 41: 74 occurrences found in 0,035953 s
Single task: Run no. 42: 74 occurrences found in 0,035974 s
Single task: Run no. 43: 74 occurrences found in 0,035792 s
Single task: Run no. 44: 74 occurrences found in 0,036212 s
Single task: Run no. 45: 74 occurrences found in 0,035752 s
Single task: Run no. 46: 74 occurrences found in 0,035764 s
Single task: Run no. 47: 74 occurrences found in 0,035787 s
Single task: Run no. 48: 74 occurrences found in 0,035764 s
Single task: Run no. 49: 74 occurrences found in 0,036188 s
Single task: Run no. 50: 74 occurrences found in 0,035747 s
Single task: Run no. 51: 74 occurrences found in 0,035699 s
Single task: Run no. 52: 74 occurrences found in 0,035777 s
Single task: Run no. 53: 74 occurrences found in 0,035741 s
Single task: Run no. 54: 74 occurrences found in 0,035920 s
Single task: Run no. 55: 74 occurrences found in 0,035819 s
Single task: Run no. 56: 74 occurrences found in 0,035854 s
Single task: Run no. 57: 74 occurrences found in 0,035709 s
Single task: Run no. 58: 74 occurrences found in 0,035787 s
Single task: Run no. 59: 74 occurrences found in 0,035879 s
Single task: Run no. 60: 74 occurrences found in 0,035823 s
Single task: Run no. 61: 74 occurrences found in 0,035796 s
Single task: Run no. 62: 74 occurrences found in 0,035712 s
Single task: Run no. 63: 74 occurrences found in 0,035778 s
Single task: Run no. 64: 74 occurrences found in 0,036067 s
Single task: Run no. 65: 74 occurrences found in 0,036032 s
Single task: Run no. 66: 74 occurrences found in 0,035897 s
Single task: Run no. 67: 74 occurrences found in 0,036105 s
Single task: Run no. 68: 74 occurrences found in 0,035743 s
Single task: Run no. 69: 74 occurrences found in 0,035786 s
Single task: Run no. 70: 74 occurrences found in 0,035964 s
Single task: Run no. 71: 74 occurrences found in 0,035684 s
Single task: Run no. 72: 74 occurrences found in 0,035843 s
Single task: Run no. 73: 74 occurrences found in 0,035710 s
Single task: Run no. 74: 74 occurrences found in 0,035787 s
Single task: Run no. 75: 74 occurrences found in 0,035759 s
Single task: Run no. 76: 74 occurrences found in 0,035754 s
Single task: Run no. 77: 74 occurrences found in 0,035749 s
Single task: Run no. 78: 74 occurrences found in 0,035870 s
Single task: Run no. 79: 74 occurrences found in 0,036150 s
Single task: Run no. 80: 74 occurrences found in 0,035834 s
Single task: Run no. 81: 74 occurrences found in 0,035786 s
Single task: Run no. 82: 74 occurrences found in 0,035737 s
Single task: Run no. 83: 74 occurrences found in 0,035729 s
Single task: Run no. 84: 74 occurrences found in 0,035736 s
Single task: Run no. 85: 74 occurrences found in 0,035874 s
Single task: Run no. 86: 74 occurrences found in 0,035729 s
Single task: Run no. 87: 74 occurrences found in 0,035829 s
Single task: Run no. 88: 74 occurrences found in 0,035941 s
Single task: Run no. 89: 74 occurrences found in 0,035744 s
Single task: Run no. 90: 74 occurrences found in 0,035797 s
Single task: Run no. 91: 74 occurrences found in 0,035785 s
Single task: Run no. 92: 74 occurrences found in 0,035782 s
Single task: Run no. 93: 74 occurrences found in 0,035931 s
