
File=Chromosome.txt, pattern='A'
ntasks=100, nthreads=4, warmups=10, runs=100

Single task: Run no.  0: 1251521 occurrences found in 0,034637 s
Single task: Run no.  1: 1251521 occurrences found in 0,153652 s
Single task: Run no.  2: 1251521 occurrences found in 0,034079 s
Single task: Run no.  3: 1251521 occurrences found in 0,034268 s
Single task: Run no.  4: 1251521 occurrences found in 0,168870 s
Single task: Run no.  5: 1251521 occurrences found in 0,034819 s
Single task: Run no.  6: 1251521 occurrences found in 0,033614 s
Single task: Run no.  7: 1251521 occurrences found in 0,267236 s
Single task: Run no.  8: 1251521 occurrences found in 0,085261 s
Single task: Run no.  9: 1251521 occurrences found in 0,051075 s
Single task: Run no. 10: 1251521 occurrences found in 0,051544 s
Single task: Run no. 11: 1251521 occurrences found in 0,202546 s
Single task: Run no. 12: 1251521 occurrences found in 0,034148 s
Single task: Run no. 13: 1251521 occurrences found in 0,034148 s
Single task: Run no. 14: 1251521 occurrences found in 0,034254 s
Single task: Run no. 15: 1251521 occurrences found in 0,195938 s
Single task: Run no. 16: 1251521 occurrences found in 0,034015 s
Single task: Run no. 17: 1251521 occurrences found in 0,034011 s
Single task: Run no. 18: 1251521 occurrences found in 0,033729 s
Single task: Run no. 19: 1251521 occurrences found in 0,193683 s
Single task: Run no. 20: 1251521 occurrences found in 0,034027 s
Single task: Run no. 21: 1251521 occurrences found in 0,033567 s
Single task: Run no. 22: 1251521 occurrences found in 0,033544 s
Single task: Run no. 23: 1251521 occurrences found in 0,212406 s
Single task: Run no. 24: 1251521 occurrences found in 0,050790 s
Single task: Run no. 25: 1251521 occurrences found in 0,050941 s
Single task: Run no. 26: 1251521 occurrences found in 0,050501 s
Single task: Run no. 27: 1251521 occurrences found in 0,164584 s
Single task: Run no. 28: 1251521 occurrences found in 0,034471 s
Single task: Run no. 29: 1251521 occurrences found in 0,034292 s
Single task: Run no. 30: 1251521 occurrences found in 0,033656 s
Single task: Run no. 31: 1251521 occurrences found in 0,033880 s
Single task: Run no. 32: 1251521 occurrences found in 0,207400 s
Single task: Run no. 33: 1251521 occurrences found in 0,034061 s
Single task: Run no. 34: 1251521 occurrences found in 0,034268 s
Single task: Run no. 35: 1251521 occurrences found in 0,033427 s
Single task: Run no. 36: 1251521 occurrences found in 0,288989 s
Single task: Run no. 37: 1251521 occurrences found in 0,034050 s
Single task: Run no. 38: 1251521 occurrences found in 0,034026 s
Single task: Run no. 39: 1251521 occurrences found in 0,034597 s
Single task: Run no. 40: 1251521 occurrences found in 0,033332 s
Single task: Run no. 41: 1251521 occurrences found in 0,163251 s
Single task: Run no. 42: 1251521 occurrences found in 0,052595 s
Single task: Run no. 43: 1251521 occurrences found in 0,052173 s
Single task: Run no. 44: 1251521 occurrences found in 0,052032 s
Single task: Run no. 45: 1251521 occurrences found in 0,051535 s
Single task: Run no. 46: 1251521 occurrences found in 0,224505 s
Single task: Run no. 47: 1251521 occurrences found in 0,034583 s
Single task: Run no. 48: 1251521 occurrences found in 0,033755 s
Single task: Run no. 49: 1251521 occurrences found in 0,034090 s
Single task: Run no. 50: 1251521 occurrences found in 0,035051 s
Single task: Run no. 51: 1251521 occurrences found in 0,271517 s
Single task: Run no. 52: 1251521 occurrences found in 0,034053 s
Single task: Run no. 53: 1251521 occurrences found in 0,033503 s
Single task: Run no. 54: 1251521 occurrences found in 0,033786 s
Single task: Run no. 55: 1251521 occurrences found in 0,034236 s
Single task: Run no. 56: 1251521 occurrences found in 0,343362 s
Single task: Run no. 57: 1251521 occurrences found in 0,033966 s
Single task: Run no. 58: 1251521 occurrences found in 0,033611 s
Single task: Run no. 59: 1251521 occurrences found in 0,034386 s
Single task: Run no. 60: 1251521 occurrences found in 0,033801 s
Single task: Run no. 61: 1251521 occurrences found in 0,196556 s
Single task: Run no. 62: 1251521 occurrences found in 0,050315 s
Single task: Run no. 63: 1251521 occurrences found in 0,050441 s
Single task: Run no. 64: 1251521 occurrences found in 0,050082 s
Single task: Run no. 65: 1251521 occurrences found in 0,050155 s
Single task: Run no. 66: 1251521 occurrences found in 0,180249 s
Single task: Run no. 67: 1251521 occurrences found in 0,034386 s
Single task: Run no. 68: 1251521 occurrences found in 0,034121 s
Single task: Run no. 69: 1251521 occurrences found in 0,033646 s
Single task: Run no. 70: 1251521 occurrences found in 0,033538 s
Single task: Run no. 71: 1251521 occurrences found in 0,190319 s
Single task: Run no. 72: 1251521 occurrences found in 0,034340 s
Single task: Run no. 73: 1251521 occurrences found in 0,034002 s
Single task: Run no. 74: 1251521 occurrences found in 0,033911 s
Single task: Run no. 75: 1251521 occurrences found in 0,033716 s
Single task: Run no. 76: 1251521 occurrences found in 0,210165 s
Single task: Run no. 77: 1251521 occurrences found in 0,033975 s
Single task: Run no. 78: 1251521 occurrences found in 0,033929 s
Single task: Run no. 79: 1251521 occurrences found in 0,034211 s
Single task: Run no. 80: 1251521 occurrences found in 0,034061 s
Single task: Run no. 81: 1251521 occurrences found in 0,171560 s
Single task: Run no. 82: 1251521 occurrences found in 0,051695 s
Single task: Run no. 83: 1251521 occurrences found in 0,051205 s
Single task: Run no. 84: 1251521 occurrences found in 0,051105 s
Single task: Run no. 85: 1251521 occurrences found in 0,033929 s
Single task: Run no. 86: 1251521 occurrences found in 0,033751 s
Single task: Run no. 87: 1251521 occurrences found in 0,189813 s
Single task: Run no. 88: 1251521 occurrences found in 0,034769 s
Single task: Run no. 89: 1251521 occurrences found in 0,033927 s
Single task: Run no. 90: 1251521 occurrences found in 0,034228 s
Single task: Run no. 91: 1251521 occurrences found in 0,034510 s
Single task: Run no. 92: 1251521 occurrences found in 0,183283 s
Single task: Run no. 93: 1251521 occurrences found in 0,034517 s
Single task: Run no. 94: 1251521 occurrences found in 0,034093 s
Single task: Run no. 95: 1251521 occurrences found in 0,033941 s
Single task: Run no. 96: 1251521 occurrences found in 0,033684 s
Single task: Run no. 97: 1251521 occurrences found in 0,259615 s
Single task: Run no. 98: 1251521 occurrences found in 0,034044 s
Single task: Run no. 99: 1251521 occurrences found in 0,034522 s

Single task (avg.): 0,076204 s

Using 100 tasks: Run no.  0: 1251521 occurrences found in 0,032331 s
Using 100 tasks: Run no.  1: 1251521 occurrences found in 0,022770 s
Using 100 tasks: Run no.  2: 1251521 occurrences found in 0,193631 s
Using 100 tasks: Run no.  3: 1251521 occurrences found in 0,017487 s
Using 100 tasks: Run no.  4: 1251521 occurrences found in 0,017237 s
Using 100 tasks: Run no.  5: 1251521 occurrences found in 0,161161 s
Using 100 tasks: Run no.  6: 1251521 occurrences found in 0,017113 s
Using 100 tasks: Run no.  7: 1251521 occurrences found in 0,017115 s
Using 100 tasks: Run no.  8: 1251521 occurrences found in 0,172568 s
Using 100 tasks: Run no.  9: 1251521 occurrences found in 0,018599 s
Using 100 tasks: Run no. 10: 1251521 occurrences found in 0,017600 s
Using 100 tasks: Run no. 11: 1251521 occurrences found in 0,060509 s
Using 100 tasks: Run no. 12: 1251521 occurrences found in 0,017185 s
Using 100 tasks: Run no. 13: 1251521 occurrences found in 0,017161 s
Using 100 tasks: Run no. 14: 1251521 occurrences found in 0,017127 s
Using 100 tasks: Run no. 15: 1251521 occurrences found in 0,017224 s
Using 100 tasks: Run no. 16: 1251521 occurrences found in 0,017070 s
Using 100 tasks: Run no. 17: 1251521 occurrences found in 0,017601 s
Using 100 tasks: Run no. 18: 1251521 occurrences found in 0,017202 s
Using 100 tasks: Run no. 19: 1251521 occurrences found in 0,017179 s
Using 100 tasks: Run no. 20: 1251521 occurrences found in 0,017149 s
Using 100 tasks: Run no. 21: 1251521 occurrences found in 0,024589 s
Using 100 tasks: Run no. 22: 1251521 occurrences found in 0,034190 s
Using 100 tasks: Run no. 23: 1251521 occurrences found in 0,019810 s
Using 100 tasks: Run no. 24: 1251521 occurrences found in 0,017148 s
Using 100 tasks: Run no. 25: 1251521 occurrences found in 0,018204 s
Using 100 tasks: Run no. 26: 1251521 occurrences found in 0,025710 s
Using 100 tasks: Run no. 27: 1251521 occurrences found in 0,034335 s
Using 100 tasks: Run no. 28: 1251521 occurrences found in 0,034816 s
Using 100 tasks: Run no. 29: 1251521 occurrences found in 0,034616 s
Using 100 tasks: Run no. 30: 1251521 occurrences found in 0,034892 s
Using 100 tasks: Run no. 31: 1251521 occurrences found in 0,034558 s
Using 100 tasks: Run no. 32: 1251521 occurrences found in 0,018211 s
Using 100 tasks: Run no. 33: 1251521 occurrences found in 0,017263 s
Using 100 tasks: Run no. 34: 1251521 occurrences found in 0,017220 s
Using 100 tasks: Run no. 35: 1251521 occurrences found in 0,033756 s
Using 100 tasks: Run no. 36: 1251521 occurrences found in 0,034606 s
Using 100 tasks: Run no. 37: 1251521 occurrences found in 0,034633 s
Using 100 tasks: Run no. 38: 1251521 occurrences found in 0,034438 s
